  344,20130101,    1,  210,  100
  344,20130101,    2,  210,   80
  344,20130101,    3,  220,   80
  344,20130101,    4,  220,   70
  344,20130101,    5,  220,   50
  344,20130101,    6,  230,   50
  344,20130101,    7,  270,   30
  344,20130101,    8,  250,   20
  344,20130101,    9,  310,   50
  344,20130101,   10,  290,   40
  344,20130101,   11,  300,   50
  344,20130101,   12,  280,   60
  344,20130101,   13,  270,   60
  344,20130101,   14,  270,   60
  344,20130101,   15,  270,   50
  344,20130101,   16,  270,   50
  344,20130101,   17,  260,   50
  344,20130101,   18,  270,   50
  344,20130101,   19,  260,   50
  344,20130101,   20,  260,   50
  344,20130101,   21,  270,   60
  344,20130101,   22,  270,   60
  344,20130101,   23,  280,   60
  344,20130101,   24,  270,   40
  344,20130102,    1,  280,   40
  344,20130102,    2,  280,   40
  344,20130102,    3,  270,   40
  344,20130102,    4,  260,   30
  344,20130102,    5,  260,   30
  344,20130102,    6,  260,   30
  344,20130102,    7,  260,   30
  344,20130102,    8,  250,   30
  344,20130102,    9,  250,   30
  344,20130102,   10,  240,   30
  344,20130102,   11,  250,   40
  344,20130102,   12,  250,   40
  344,20130102,   13,  240,   60
  344,20130102,   14,  240,   60
  344,20130102,   15,  240,   60
  344,20130102,   16,  240,   60
  344,20130102,   17,  230,   60
  344,20130102,   18,  220,   60
  344,20130102,   19,  220,   70
  344,20130102,   20,  220,   70
  344,20130102,   21,  210,   80
  344,20130102,   22,  220,   80
  344,20130102,   23,  220,   70
  344,20130102,   24,  210,   70
  344,20130103,    1,  220,   70
  344,20130103,    2,  240,   60
  344,20130103,    3,  240,   70
  344,20130103,    4,  240,   60
  344,20130103,    5,  250,   60
  344,20130103,    6,  240,   60
  344,20130103,    7,  230,   60
  344,20130103,    8,  250,   60
  344,20130103,    9,  230,   50
  344,20130103,   10,  230,   50
  344,20130103,   11,  240,   50
  344,20130103,   12,  240,   60
  344,20130103,   13,  250,   50
  344,20130103,   14,  250,   50
  344,20130103,   15,  260,   50
  344,20130103,   16,  250,   50
  344,20130103,   17,  260,   50
  344,20130103,   18,  250,   50
  344,20130103,   19,  260,   50
  344,20130103,   20,  260,   50
  344,20130103,   21,  250,   50
  344,20130103,   22,  250,   40
  344,20130103,   23,  250,   50
  344,20130103,   24,  250,   50
  344,20130104,    1,  240,   50
  344,20130104,    2,  250,   50
  344,20130104,    3,  240,   50
  344,20130104,    4,  260,   60
  344,20130104,    5,  270,   50
  344,20130104,    6,  270,   50
  344,20130104,    7,  280,   50
  344,20130104,    8,  270,   50
  344,20130104,    9,  280,   50
  344,20130104,   10,  270,   40
  344,20130104,   11,  250,   40
  344,20130104,   12,  260,   50
  344,20130104,   13,  270,   50
  344,20130104,   14,  270,   50
  344,20130104,   15,  270,   40
  344,20130104,   16,  260,   30
